"","sumz","meanz","sdz"
"1",9541.2,1590.2,602.225553535025
"2",9541.2,1590.2,623.138101236758
"3",9541.2,1590.2,677.944214072761
"4",9541.2,1590.2,545.037466795542
"5",9541.2,1590.2,546.198585692373
"6",9541.2,1590.2,522.769222391702
"7",9541.2,1590.2,543.706362039453
"8",9541.2,1590.2,545.346683739537
"9",9541.2,1590.2,487.804769896878
"10",9541.2,1590.2,467.985136029859
"11",9541.2,1590.2,474.099027545494
"12",9541.2,1590.2,475.537505403192
"13",9541.2,1590.2,460.620760285049
"14",9541.2,1590.2,467.340292460533
"15",9541.2,1590.2,491.576801011951
"16",9541.2,1590.2,537.43465558507
"17",9541.2,1590.2,446.608651237361
"18",9541.2,1590.2,400.858610388824
"19",9541.2,1590.2,396.023343478128
"20",9541.2,1590.2,397.580852592744
"21",9541.2,1590.2,403.177542566748
"22",9541.2,1590.2,415.870608875714
"23",9541.2,1590.2,425.644662860663
"24",9541.2,1590.2,433.338270399003
"25",9541.2,1590.2,459.933259495077
"26",9541.2,1590.2,397.99608862545
"27",9541.2,1590.2,401.17152815777
"28",9541.2,1590.2,407.632112712051
"29",9541.2,1590.2,412.071192428456
"30",9541.2,1590.2,416.000434067512
"31",9541.2,1590.2,424.510308335961
"32",9541.2,1590.2,433.688051127013
"33",9541.2,1590.2,447.189106793643
"34",9541.2,1590.2,482.140651871808
"35",9541.2,1590.2,428.064326512304
"36",9541.2,1590.2,410.187031793515
"37",9541.2,1590.2,422.249033459223
"38",9541.2,1590.2,425.626365064673
"39",9541.2,1590.2,426.100248974924
"40",9541.2,1590.2,436.18156507037
"41",9541.2,1590.2,463.594499172348
"42",9541.2,1590.2,503.659031953872
"43",9541.2,1590.2,449.393311232966
"44",9541.2,1590.2,431.798208585434
"45",9541.2,1590.2,432.364902541599
"46",9541.2,1590.2,440.402238633823
"47",9541.2,1590.2,471.135340781706
"48",9541.2,1590.2,507.40800772954
"49",9541.2,1590.2,588.032342501205
"50",9541.2,1590.2,530.27693003904
"51",9541.2,1590.2,486.227668931319
"52",9541.2,1590.2,494.89760866409
"53",9541.2,1590.2,580.479499316098
"54",9541.2,1590.2,551.304260532686
